institute,driving_model,experiment,ensemble,rcm_name,rcm_version,time_frequency,variable
DMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,HIRHAM5,v2,day,tas
KNMI,NCC-NorESM1-M,rcp85,r1i1p1,RACMO22E,v1,day,tasmin
KNMI,CNRM-CERFACS-CNRM-CM5,rcp26,r1i1p1,RACMO22E,v2,day,tasmax
KNMI,CNRM-CERFACS-CNRM-CM5,rcp26,r1i1p1,RACMO22E,v2,day,tasmin
KNMI,CNRM-CERFACS-CNRM-CM5,rcp26,r1i1p1,RACMO22E,v2,day,tas
KNMI,NCC-NorESM1-M,rcp85,r1i1p1,RACMO22E,v1,day,pr
KNMI,NCC-NorESM1-M,historical,r1i1p1,RACMO22E,v1,day,tasmax
KNMI,NCC-NorESM1-M,historical,r1i1p1,RACMO22E,v1,day,tasmin
KNMI,NCC-NorESM1-M,historical,r1i1p1,RACMO22E,v1,day,tas
KNMI,CNRM-CERFACS-CNRM-CM5,rcp26,r1i1p1,RACMO22E,v2,day,pr
KNMI,NCC-NorESM1-M,rcp85,r1i1p1,RACMO22E,v1,day,tasmax
KNMI,NCC-NorESM1-M,rcp85,r1i1p1,RACMO22E,v1,day,tas
KNMI,NCC-NorESM1-M,historical,r1i1p1,RACMO22E,v1,day,pr
GERICS,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,REMO2015,v1,day,tasmax
GERICS,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,REMO2015,v1,day,tasmin
GERICS,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,REMO2015,v1,day,tas
GERICS,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,REMO2015,v1,day,pr
GERICS,NCC-NorESM1-M,rcp26,r1i1p1,REMO2015,v1,day,tasmax
GERICS,NCC-NorESM1-M,rcp26,r1i1p1,REMO2015,v1,day,tasmin
GERICS,NCC-NorESM1-M,rcp26,r1i1p1,REMO2015,v1,day,tas
GERICS,NCC-NorESM1-M,rcp26,r1i1p1,REMO2015,v1,day,pr
GERICS,MPI-M-MPI-ESM-LR,historical,r3i1p1,REMO2015,v1,day,tasmax
GERICS,MPI-M-MPI-ESM-LR,historical,r3i1p1,REMO2015,v1,day,tas
GERICS,MPI-M-MPI-ESM-LR,historical,r3i1p1,REMO2015,v1,day,tasmin
GERICS,MPI-M-MPI-ESM-LR,historical,r3i1p1,REMO2015,v1,day,pr
CLMcom-ETH,NCC-NorESM1-M,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,day,pr
CLMcom-ETH,NCC-NorESM1-M,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,NCC-NorESM1-M,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
CLMcom-ETH,NCC-NorESM1-M,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tas
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tas
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r1i1p1,COSMO-crCLIM-v1-1,v1,day,pr
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,day,pr
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tas
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,day,tas
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,day,pr
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,day,tasmin
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,day,tasmin
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,day,tasmax
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,day,tasmax
DMI,MPI-M-MPI-ESM-LR,historical,r1i1p1,HIRHAM5,v1,day,tas
DMI,MPI-M-MPI-ESM-LR,rcp85,r1i1p1,HIRHAM5,v1,day,pr
DMI,MOHC-HadGEM2-ES,rcp45,r1i1p1,HIRHAM5,v2,day,tasmax
DMI,MOHC-HadGEM2-ES,rcp45,r1i1p1,HIRHAM5,v2,day,tas
DMI,MOHC-HadGEM2-ES,rcp45,r1i1p1,HIRHAM5,v2,day,tasmin
DMI,MOHC-HadGEM2-ES,rcp45,r1i1p1,HIRHAM5,v2,day,pr
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,day,tas
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r2i1p1,COSMO-crCLIM-v1-1,v1,day,pr
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,day,pr
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,day,tas
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,MPI-M-MPI-ESM-LR,historical,r3i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,day,pr
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,day,tas
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r2i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tas
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
GERICS,CNRM-CERFACS-CNRM-CM5,rcp26,r1i1p1,REMO2015,v2,day,pr
GERICS,CNRM-CERFACS-CNRM-CM5,rcp26,r1i1p1,REMO2015,v2,day,tasmin
GERICS,CNRM-CERFACS-CNRM-CM5,rcp26,r1i1p1,REMO2015,v2,day,tas
GERICS,CNRM-CERFACS-CNRM-CM5,rcp26,r1i1p1,REMO2015,v2,day,tasmax
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,day,tasmin
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,day,tas
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,day,tasmax
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,day,tasmax
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,day,tasmin
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,day,tas
CLMcom-ETH,MOHC-HadGEM2-ES,rcp85,r1i1p1,COSMO-crCLIM-v1-1,v1,day,pr
GERICS,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,REMO2015,v2,day,pr
GERICS,IPSL-IPSL-CM5A-MR,rcp85,r1i1p1,REMO2015,v1,day,pr
DMI,MOHC-HadGEM2-ES,rcp26,r1i1p1,HIRHAM5,v2,day,pr
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,day,tasmax
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,day,tasmin
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,day,pr
CLMcom-ETH,MPI-M-MPI-ESM-LR,rcp85,r3i1p1,COSMO-crCLIM-v1-1,v1,day,tas
DMI,MOHC-HadGEM2-ES,rcp26,r1i1p1,HIRHAM5,v2,day,tasmin
