institute,gcm,experiment,ensemble,rcm_name,downscale_realisation,variable,institute_rcm
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5,v1,huss,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5,v1,hfss,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5,v1,clh,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r12i1p1,HIRHAM5,v1,hfls,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5,v1,clt,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r12i1p1,HIRHAM5,v1,rlds,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r12i1p1,HIRHAM5,v1,clt,DMI-HIRHAM5
GERICS,NCC-NorESM1-M,rcp85,r1i1p1,REMO2015,v1,clt,GERICS-REMO2015
GERICS,NCC-NorESM1-M,rcp85,r1i1p1,REMO2015,v1,rlds,GERICS-REMO2015
GERICS,NCC-NorESM1-M,rcp85,r1i1p1,REMO2015,v1,rsds,GERICS-REMO2015
GERICS,NCC-NorESM1-M,rcp85,r1i1p1,REMO2015,v1,snw,GERICS-REMO2015
GERICS,NCC-NorESM1-M,rcp85,r1i1p1,REMO2015,v1,rsus,GERICS-REMO2015
GERICS,NCC-NorESM1-M,rcp85,r1i1p1,REMO2015,v1,huss,GERICS-REMO2015
GERICS,NCC-NorESM1-M,rcp85,r1i1p1,REMO2015,v1,ts,GERICS-REMO2015
KNMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RACMO22E,v2,rlds,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RACMO22E,v2,rsds,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RACMO22E,v2,rlds,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RACMO22E,v2,snc,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RACMO22E,v2,snw,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RACMO22E,v2,rsus,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RACMO22E,v2,clh,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RACMO22E,v2,cll,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RACMO22E,v2,snc,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RACMO22E,v2,snw,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RACMO22E,v2,rsus,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RACMO22E,v2,clt,KNMI-RACMO22E
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5,v1,rlus,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5,v1,rsus,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r12i1p1,HIRHAM5,v1,clm,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,historical,r12i1p1,HIRHAM5,v1,ts,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r12i1p1,HIRHAM5,v1,clh,DMI-HIRHAM5
DMI,ICHEC-EC-EARTH,rcp85,r12i1p1,HIRHAM5,v1,rsds,DMI-HIRHAM5
GERICS,NCC-NorESM1-M,rcp85,r1i1p1,REMO2015,v1,rlus,GERICS-REMO2015
GERICS,NCC-NorESM1-M,rcp85,r1i1p1,REMO2015,v1,hfss,GERICS-REMO2015
GERICS,NCC-NorESM1-M,rcp85,r1i1p1,REMO2015,v1,hfls,GERICS-REMO2015
KNMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RACMO22E,v2,hfss,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RACMO22E,v2,clt,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RACMO22E,v2,cll,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RACMO22E,v2,clm,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RACMO22E,v2,hfls,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RACMO22E,v2,ts,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,historical,r1i1p1,RACMO22E,v2,clm,KNMI-RACMO22E
KNMI,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,RACMO22E,v2,rlus,KNMI-RACMO22E
